Time,Depth
761760,0
761780,3
761800,14
761820,18
761840,20
761860,21
761920,22
761960,19
761980,14
762000,10
762020,7
762040,6
762080,5
762120,4
762200,6
762240,9
762260,13
762280,18
762300,20
762360,21
762480,19
762500,13
762520,7
762540,6
762560,4
762620,3
762700,2
762740,3
762760,6
762780,7
762800,10
762820,15
762840,18
762860,20
762900,21
762960,20
762980,16
763000,11
763020,8
763040,6
763080,4
763140,3
763280,4
763300,6
763320,11
763340,16
763360,20
763380,22
763400,23
763460,24
763500,22
763520,18
763540,12
763560,8
763580,7
763600,6
763640,4
763700,3
763800,6
763820,8
763840,12
763860,17
763880,19
763900,20
763920,21
764020,18
764040,13
764060,10
764080,7
764100,6
764120,4
764220,3
764320,4
764340,6
764360,8
764380,11
764400,16
764420,19
764440,20
764580,17
764600,13
764620,9
764640,7
764660,6
764680,4
764700,3
764760,2
764880,6
764900,7
764920,10
764940,13
764960,16
765040,17
765100,15
765120,11
765140,8
765160,6
765200,4
765240,3
765280,2
765400,3
765420,6
765440,8
765460,11
765480,13
765500,15
765540,16
765640,13
765660,11
765680,8
765700,6
765740,4
765800,3
765840,2
765980,6
766000,8
766020,11
766040,13
766060,15
766080,16
766240,15
766260,12
766280,9
766300,7
766320,6
766360,4
766380,3
766420,2
766580,6
766600,8
766620,11
766640,13
766660,15
766700,16
766800,13
766820,10
766840,7
766860,6
766880,4
766900,2
767100,6
767120,10
767140,15
767160,18
767180,19
767240,20
767280,17
767300,13
767320,10
767340,8
767360,6
767400,4
767440,3
767500,2
767640,4
767660,8
767680,11
767700,14
767720,16
767740,17
767820,16
767840,12
767860,10
767880,7
767900,6
767920,4
767940,3
768000,2
768220,5
768240,7
768260,10
768280,13
768300,15
768320,16
768340,17
768440,15
768460,13
768480,10
768500,8
768520,6
768560,4
768600,3
768620,2
768740,4
768760,7
768780,11
768800,13
768820,16
768840,17
768940,14
768960,11
768980,8
769000,6
769020,5
769040,4
769060,3
769120,2
769260,3
769280,7
769300,11
769320,13
769340,16
769480,13
769500,11
769520,7
769540,6
769560,4
769580,3
769660,2
769800,6
769820,8
769840,11
769860,14
769880,16
769900,17
770020,15
770040,12
770060,8
770080,6
770100,4
770120,2
770320,4
770340,8
770360,13
770380,16
770400,17
770420,18
770520,14
770540,10
770560,7
770580,4
770600,3
770700,2
770820,4
770840,6
770860,10
770880,14
770900,17
770920,19
770980,20
771020,18
771040,14
771060,11
771080,7
771100,6
771140,4
771300,6
771320,8
771340,13
771360,18
771380,21
771400,22
771480,21
771500,18
771520,14
771540,10
771560,7
771580,6
771600,4
771680,3
771780,6
771800,8
771820,13
771840,18
771860,22
771880,24
771960,23
771980,18
772000,13
772020,9
772040,7
772060,6
772100,5
772120,4
772200,3
772260,4
772280,6
772300,10
772320,14
772340,19
772360,22
772380,23
772440,24
772460,22
772480,19
772500,15
772520,11
772540,7
772560,6
772580,4
772680,3
772720,4
772740,7
772760,12
772780,18
772800,22
772820,24
772920,20
772940,15
772960,11
772980,7
773000,6
773020,5
773040,4
773120,3
773220,6
773240,8
773260,11
773280,16
773300,20
773320,23
773340,24
773420,21
773440,16
773460,11
773480,8
773500,7
773520,6
773560,5
773580,4
773700,6
773720,10
773740,14
773760,18
773780,20
773800,21
773840,22
773900,21
773920,18
773940,15
773960,11
773980,7
774000,6
774020,4
774040,3
774080,2
774240,3
774260,7
774280,11
774300,12
774320,14
774400,15
774420,14
774440,11
774460,8
774480,6
774500,4
774520,2
774720,6
774740,10
774760,14
774780,19
774800,22
774820,23
774900,22
774920,18
774940,14
774960,10
774980,7
775000,6
775040,4
775080,3
775120,2
775240,6
775260,8
775280,11
775300,15
775320,18
