Time,Depth
1059260,0
1059279,0
1059280,3
1059300,11
1059320,15
1059340,20
1059360,27
1059380,34
1059400,43
1059420,49
1059440,54
1059460,56
1059520,52
1059540,46
1059560,38
1059580,29
1059600,21
1059620,15
1059640,10
1059660,7
1059680,6
1059760,7
1059780,10
1059800,14
1059820,19
1059840,26
1059860,33
1059880,42
1059900,49
1059920,55
1059940,57
1059960,58
1060000,55
1060020,49
1060040,41
1060060,32
1060080,23
1060100,16
1060120,10
1060140,6
1060180,4
1060220,6
1060240,7
1060260,10
1060280,13
1060300,18
1060320,22
1060340,28
1060360,35
1060380,44
1060400,50
1060420,54
1060440,56
1060460,57
1060480,56
1060500,50
1060520,42
1060540,33
1060560,24
1060580,16
1060600,9
1060620,6
1060640,3
1060720,4
1060740,6
1060760,9
1060780,14
1060800,20
1060820,26
1060840,33
1060860,42
1060880,49
1060900,54
1060920,56
1060980,52
1061000,45
1061020,36
1061040,27
1061060,19
1061080,11
1061100,6
1061120,4
1061140,2
1061220,6
1061240,8
1061260,12
1061280,18
1061300,23
1061320,30
1061340,39
1061360,47
1061380,52
1061400,56
1061460,54
1061480,48
1061500,40
1061520,31
1061540,23
1061560,15
1061580,9
1061600,6
1061620,3
1061640,1
1061700,2
1061720,6
1061740,8
1061760,12
1061780,18
1061800,24
1061820,32
1061840,40
1061860,48
1061880,53
1061900,56
1061960,53
1061980,46
1062000,38
1062020,30
1062040,21
1062060,14
1062080,8
1062100,6
1062120,3
1062140,2
1062220,6
1062240,8
1062260,11
1062280,17
1062300,22
1062320,29
1062340,37
1062360,45
1062380,51
1062400,55
1062420,56
1062460,55
1062480,50
1062500,42
1062520,33
1062540,24
1062560,17
1062580,10
1062600,6
1062620,4
1062640,3
1062700,4
1062720,6
1062740,9
1062760,14
1062780,19
1062800,25
1062820,32
1062840,40
1062860,47
1062880,52
1062900,55
1062960,53
1062980,46
1063000,38
1063020,28
1063040,20
1063060,12
1063080,6
1063100,2
1063120,1
1063220,3
1063240,7
1063260,12
1063280,18
1063300,24
1063320,32
1063340,41
1063360,48
1063380,53
1063400,55
1063460,52
1063480,46
1063500,37
1063520,28
1063540,20
1063560,12
1063580,7
1063600,3
1063620,1
1063720,6
1063740,9
1063760,13
1063780,19
1063800,25
1063820,32
1063840,40
1063860,46
1063880,51
1063900,52
1063960,49
1063980,42
1064000,34
1064020,26
1064040,18
1064060,11
1064080,7
1064100,4
1064120,3
1064140,2
1064180,4
1064200,7
1064220,10
1064240,15
1064260,20
1064280,27
1064300,35
1064320,42
1064340,49
1064360,52
1064380,54
1064420,53
1064440,49
1064460,42
1064480,33
1064500,25
1064520,18
1064540,11
1064560,6
1064580,4
1064600,2
1064660,3
1064680,6
1064700,9
1064720,13
1064740,20
1064760,26
1064780,33
1064800,41
1064820,49
1064840,53
1064860,56
1064920,53
1064940,46
1064960,38
1064980,29
1065000,20
1065020,12
1065040,7
1065060,3
1065080,1
1065160,4
1065180,7
1065200,11
1065220,17
1065240,23
1065260,30
1065280,38
1065300,45
1065320,51
1065340,53
1065360,54
1065400,52
1065420,46
1065440,38
1065460,29
1065480,20
1065500,13
1065520,8
1065540,5
1065560,2
1065580,1
1065640,2
1065660,6
1065680,9
1065700,14
1065720,20
1065740,26
1065760,34
1065780,42
1065800,49
1065820,53
1065840,55
1065900,52
1065920,45
1065940,36
1065960,27
1065980,19
1066000,12
1066020,6
1066040,3
1066060,1
1066140,2
1066160,6
1066180,11
1066200,17
1066220,23
1066240,31
1066260,40
1066280,48
1066300,53
1066320,56
1066340,57
1066380,55
1066400,50
1066420,42
1066440,34
1066460,26
1066480,18
1066500,11
1066520,7
1066540,4
1066560,2
1066580,1
1066640,6
1066660,8
1066680,12
1066700,18
1066720,24
1066740,32
1066760,40
1066780,48
1066800,53
1066820,55
1066840,56
1066880,52
1066900,46
1066920,38
1066940,30
1066960,21
1066980,14
1067000,8
1067020,5
1067040,2
1067060,1
1067120,3
1067140,6
1067160,10
1067180,15
1067200,21
1067220,28
1067240,36
1067260,45
1067280,51
1067300,55
1067320,56
1067360,55
1067380,50
1067400,42
1067420,33
1067440,24
1067460,16
1067480,9
1067500,6
1067520,2
1067540,1
1067620,3
1067640,7
1067660,11
1067680,18
1067700,24
1067720,33
1067740,42
1067760,49
1067780,54
1067800,56
1067840,55
1067860,51
1067880,43
1067900,34
1067920,25
1067940,17
1067960,10
1067980,6
1068000,2
1068020,1
1068120,4
1068140,8
1068160,12
1068180,18
1068200,24
1068220,32
1068240,39
1068260,46
1068280,51
1068300,53
1068360,50
1068380,43
1068400,35
1068420,26
1068440,18
1068460,11
1068480,6
1068500,3
1068520,1
1068620,3
1068640,7
1068660,11
1068680,17
1068700,23
1068720,31
1068740,39
1068760,46
1068780,51
1068800,54
1068820,55
1068860,52
1068880,46
1068900,39
1068920,30
1068940,21
1068960,13
1068980,8
1069000,6
1069020,3
1069040,2
1069120,6
1069140,10
1069160,15
1069180,21
1069200,29
1069220,37
1069240,44
1069260,50
1069280,52
1069300,53
1069340,52
1069360,47
1069380,40
1069400,32
1069420,24
1069440,17
1069460,10
1069480,6
1069500,3
1069520,2
1069600,4
1069620,7
1069640,11
1069660,16
1069680,22
1069700,30
1069720,38
1069740,46
1069760,51
1069780,53
1069840,50
1069860,43
1069880,35
1069900,26
1069920,18
1069940,10
1069960,6
1069980,2
1070000,1
1070100,6
1070120,9
1070140,15
1070160,21
1070180,28
1070200,36
1070220,44
1070240,50
1070260,52
1070280,53
1070320,52
1070340,47
1070360,39
1070380,31
1070400,22
1070420,15
1070440,8
1070460,5
1070480,2
1070500,1
1070580,2
1070600,6
1070620,10
1070640,16
1070660,22
1070680,29
1070700,37
1070720,45
1070740,50
1070760,52
1070820,50
1070840,45
1070860,37
1070880,30
1070900,22
1070920,15
1070940,9
1070960,6
1070980,3
1071000,1
1071080,4
1071100,7
1071120,12
1071140,17
1071160,24
1071180,31
1071200,40
1071220,47
1071240,52
1071260,54
1071280,55
1071320,52
1071340,46
1071360,39
1071380,31
1071400,23
1071420,16
1071440,10
1071460,6
1071480,3
1071500,1
1071580,3
1071600,7
1071620,11
1071640,17
1071660,24
1071680,32
1071700,40
1071720,48
1071740,52
1071760,55
1071820,52
1071840,46
1071860,38
1071880,30
1071900,21
1071920,14
