Time,Depth
-20,0
-1,0
0,3
20,12
40,15
60,18
80,21
100,25
120,30
140,35
160,39
180,44
200,46
220,47
280,46
300,39
320,31
340,23
360,17
380,12
400,8
420,6
520,5
540,4
760,7
780,12
800,18
820,26
840,33
860,41
880,47
900,50
920,51
980,50
1000,45
1020,39
1040,33
1060,29
1080,25
1100,22
1120,20
1140,19
1160,18
1180,17
1200,16
1220,13
1240,11
1260,8
1280,6
1300,3
1320,2
1670,0
2659,0
2660,12
2680,17
2700,23
2720,30
2740,38
2760,45
2780,49
2800,51
2860,50
2880,45
2900,37
2920,28
2940,18
2960,11
2980,7
3000,6
3140,10
3160,14
3180,20
3200,28
3220,36
3240,43
3260,49
3280,51
3340,48
3360,40
3380,29
3400,19
3420,11
3440,6
3460,4
3500,3
3660,5
3680,6
3700,10
3720,16
3740,23
3760,32
3780,41
3800,47
3820,50
3880,49
3900,43
3920,34
3940,24
3960,15
3980,6
4000,1
4220,6
4240,8
4260,12
4280,16
4300,21
4320,28
4340,35
4360,41
4380,46
4400,48
4460,44
4480,36
4500,28
4520,20
4540,13
4560,8
4580,5
4600,3
4660,5
4680,6
4700,9
4720,11
4740,14
4760,17
4780,20
4800,26
4820,33
4840,41
4860,49
4880,54
4900,55
4960,50
4980,44
5000,36
5020,29
5040,22
5060,18
5080,14
5100,12
5120,11
5140,10
5280,11
5300,14
5320,21
5340,34
5360,49
5380,59
5400,62
5480,59
5500,53
5520,45
5540,36
5560,28
5580,20
5600,14
5620,10
5640,6
5860,7
5880,10
5900,16
5920,24
5940,34
5960,44
5980,52
6000,56
6020,57
6060,55
6080,50
6100,43
6120,34
6140,26
6160,20
6180,15
6200,12
6220,11
6360,12
6380,13
6400,16
6420,19
6440,25
6460,34
6480,44
6500,53
6520,58
6540,61
6600,58
6620,52
6640,45
6660,38
6680,32
6700,27
6720,23
6740,19
6760,17
6780,15
6800,14
6820,13
6980,14
7000,21
7020,31
7040,43
7060,53
7080,58
7100,59
7140,58
7160,52
7180,44
7200,34
7220,25
7240,18
7260,12
7280,9
7300,7
7320,6
7440,7
7460,8
7480,9
7500,10
7520,11
7540,13
7560,18
7580,25
7600,35
7620,45
7640,53
7660,57
7680,58
7720,57
7740,52
7760,45
7780,37
7800,29
7820,23
7840,18
7860,14
7880,11
7900,10
7920,9
7940,8
8040,9
8060,11
8080,14
8100,19
8120,28
8140,40
8160,51
8180,58
8200,62
8280,57
8300,50
8320,42
8340,33
8360,25
8380,19
8400,13
8420,9
8440,7
8460,6
8580,8
8600,9
8620,11
8640,13
8660,18
8680,25
8700,34
8720,45
8740,53
8760,58
8780,60
8820,59
8840,54
8860,47
8880,38
8900,30
8920,22
8940,16
8960,11
8980,8
9000,6
9160,8
9180,10
9200,12
9220,18
9240,26
9260,37
9280,47
9300,55
9320,60
9340,61
9380,60
9400,55
9420,48
9440,39
9460,30
9480,23
9500,17
9520,12
9540,8
9560,7
9580,6
9740,7
9760,9
9780,13
9800,20
9820,30
9840,41
9860,51
9880,57
9900,60
9920,61
9960,58
9980,54
10000,48
10020,41
10040,35
10060,29
10080,24
10100,19
10120,14
10140,10
10160,8
10180,6
10340,7
10360,10
10380,15
10400,21
10420,30
10440,40
10460,49
10480,55
10500,58
10520,59
10560,58
10580,55
10600,49
10620,41
10640,33
10660,26
10680,20
10700,15
10720,11
10740,8
10760,6
10920,8
10940,10
10960,13
10980,18
11000,25
11020,34
11040,44
11060,53
11080,58
11100,60
11160,58
11180,53
11200,47
11220,39
11240,31
11260,25
11280,19
11300,15
11320,11
11340,9
11360,8
11380,7
11400,6
11480,7
11500,8
11520,11
11540,16
11560,22
11580,31
11600,41
11620,50
11640,56
11660,59
11680,60
11720,59
11740,55
11760,48
11780,40
11800,30
11820,21
11840,14
11860,8
11880,5
11900,3
12040,4
12060,6
12080,10
12100,13
12120,16
12140,21
12160,28
12180,36
12200,45
12220,52
12240,55
12320,52
12340,45
12360,37
12380,28
