Time,Depth 
3.0099,0.073
3.3226,0.069
3.4264,0.073
3.6333,0.314
3.7371,0.601
3.8406,0.727
3.9441,0.739
4.0476,0.668
4.1681,0.128
4.3762,0.136
4.4802,0.128
4.5879,0.436
4.6917,0.652
4.7957,0.68
4.8996,0.613
5.0038,0.156
5.1078,0.121
5.2333,0.136
5.3405,0.144
5.4441,0.349
5.5479,0.499
5.6522,0.53
5.7564,0.538
5.8604,0.349
5.9662,0.124
6.0725,0.128
6.3008,0.384
6.4045,0.589
6.5085,0.601
6.6124,0.542
6.7188,0.16
6.8229,0.148
6.9269,0.156
7.0329,0.203
7.1386,0.38
7.2431,0.514
7.3703,0.526
7.4763,0.471
7.5814,0.121
7.7915,0.124
7.8963,0.195
8.0006,0.479
8.1086,0.554
8.2185,0.558
8.3275,0.168
8.4703,0.124
8.5728,0.14
8.6754,0.144
8.779,0.369
8.8822,0.526
8.985,0.542
9.191,0.199
9.294,0.128
9.3971,0.136
9.5101,0.14
9.613,0.329
9.7195,0.412
9.8244,0.42
9.9288,0.424
10.0332,0.325
10.1376,0.101
10.2446,0.097
10.3518,0.105
10.4559,0.314
10.5846,0.475
10.6975,0.491
10.8017,0.447
10.9063,0.113
11.05,0.121
11.1561,0.124
11.2603,0.128
11.365,0.424
11.4695,0.451
11.6036,0.266
11.7081,0.065
11.8172,0.069
12.0284,0.14
12.1331,0.369
12.245,0.412
12.3494,0.416
12.4535,0.16
12.5578,0.038
12.6835,0.034
12.7878,0.018
12.894,0.302
13,0.432
13.1041,0.44
13.2106,0.384
13.3166,0.042
13.6314,0.065
13.7498,0.365
13.858,0.432
13.9621,0.436
14.0663,0.034
14.1707,0.026
14.4883,0.05
14.5925,0.314
14.6984,0.373
14.827,0.377
14.934,0.026
15.0383,0.03
15.2471,0.065
15.3534,0.27
15.4593,0.337
15.5725,0.341
15.6802,0.349
15.7842,0.069
16.1191,0.081
16.2301,0.243
16.3361,0.345
16.4404,0.349
16.5447,0.314
16.649,0.026
16.8591,0.03
16.9862,0.176
17.0902,0.321
17.1943,0.333
17.3005,0.337
17.4048,0.223
17.5091,0.026
17.615,0.03
17.825,0.156
17.9288,0.357
18.0747,0.361
18.1788,0.341
18.2858,0.061
18.5996,0.069
18.7041,0.286
18.8084,0.353
18.9128,0.357
19.0188,0.274
19.1486,0.046
19.3566,0.05
19.4629,0.124
19.5687,0.314
19.6754,0.325
19.7815,0.329
19.8858,0.203
19.992,0.069
20.2177,0.038
20.3233,0.231
20.4276,0.337
20.5317,0.345
20.6357,0.298
20.7471,0.05
21.0633,0.046
21.1676,0.321
21.2959,0.341
21.4029,0.349
21.5095,0.231
21.6159,0.042
21.7229,0.046
21.9333,0.148
22.0374,0.321
22.1416,0.353
22.2477,0.325
22.3761,0.054
22.4844,0.077
22.6908,0.054
22.7933,0.27
22.896,0.38
22.999,0.384
23.1018,0.325
23.205,0.046
23.3091,0.042
23.4307,0.046
23.5369,0.077
23.641,0.258
23.7473,0.337
23.8534,0.345
23.9575,0.29
24.0619,0.05
24.1718,0.038
24.3835,0.156
24.5111,0.325
24.617,0.337
24.7212,0.298
24.8272,0.026
25.1413,0.14
25.2454,0.282
25.3497,0.31
25.4537,0.262
25.5819,0.069
25.9027,0.085
26.0073,0.239
26.1131,0.314
26.2171,0.317
26.3214,0.215
26.4259,0.077
26.53,0.065
26.6571,0.073
26.7634,0.152
26.8727,0.31
26.9785,0.329
27.0826,0.31
27.1869,0.026
27.5177,0.156
27.6228,0.341
27.8525,0.294
27.9588,0.069
28.1701,0.073
28.2782,0.054
28.3876,0.251
28.4941,0.29
28.7023,0.156
28.8282,0.054
29.0381,0.058
29.1441,0.199
29.2507,0.314
29.3546,0.329
29.4606,0.325
29.5667,0.042
29.6744,0.054
29.9054,0.03
