"depth","time"
"-0.08","0.0001"
"-0.14","0.7043"
"-0.86","0.7591"
"-2.06","0.8234"
"-4.98","0.8781"
"-5.03","0.9877"
"-4.94","1.042"
"-3.36","1.127"
"-1.5","1.1822"
"-0.08","1.2352"
"-0.36","1.3981"
"-1.25","1.4511"
"-3.61","1.5083"
"-5.03","1.5619"
"-4.98","1.6201"
"-4.72","1.673"
"-3.03","1.7295"
"-1.04","1.7823"
"-0.08","1.8446"
"-0.52","1.952"
"-1.41","2.0051"
"-5.02","2.0641"
"-5.11","2.1994"
"-4.08","2.2528"
"-1.87","2.3162"
"-0.08","2.3709"
"-0.33","2.4871"
"-1.06","2.5441"
"-2.71","2.5972"
"-5.05","2.6612"
"-4.49","2.7696"
"-2.28","2.8236"
"-0.28","2.882"
"-0.08","2.9354"
"-0.17","2.9897"
"-1.24","3.0427"
"-3.52","3.1008"
"-5.06","3.1678"
"-5.11","3.224"
"-3.35","3.2784"
"-1.35","3.337"
"-0.08","3.3903"
"-0.66","3.5037"
"-1.89","3.5621"
"-5.05","3.6153"
"-5.08","3.7266"
"-2.93","3.7883"
"-1.02","3.842"
"-0.08","3.9036"
"-0.73","4.0128"
"-2.04","4.0666"
"-5.03","4.128"
"-4.98","4.2463"
"-2.61","4.3049"
"-0.6","4.3668"
"-0.08","4.4208"
"-0.13","4.4832"
"-1.12","4.5365"
"-3.06","4.5997"
"-5.04","4.6533"
"-4.39","4.7638"
"-2.27","4.8186"
"-0.48","4.8742"
"-0.08","4.9386"
"-0.88","5.0164"
"-2.14","5.0898"
"-5.06","5.1435"
"-5.11","5.2398"
"-3.38","5.2938"
"-1.51","5.3507"
"-0.08","5.4068"
"-0.91","5.5252"
"-2.39","5.58"
"-5.04","5.6338"
"-4.6","5.7648"
"-2.17","5.8255"
"-0.43","5.8853"
"-0.08","5.938"
"-0.96","6.0432"
"-2.31","6.0954"
"-5.03","6.148"
"-4.89","6.2628"
"-3.13","6.3156"
"-1.45","6.3686"
"-0.08","6.4211"
"-0.42","6.5268"
"-1.76","6.5845"
"-5.06","6.6424"
"-5.02","6.763"
"-3.24","6.8237"
"-1.44","6.8778"
"-0.08","6.9392"
"-0.69","7.0523"
"-1.93","7.1062"
"-5.05","7.1671"
"-4.47","7.2977"
"-2.35","7.3516"
"-0.9","7.4061"
"-0.08","7.4611"
"-1.08","7.5739"
"-2.39","7.6358"
"-5.05","7.6904"
"-4.82","7.8061"
"-2.27","7.8689"
"-0.09","7.9276"
"-0.48","8.0426"
"-1.8","8.1036"
"-5.05","8.1663"
"-4.19","8.3039"
"-2.01","8.3617"
"-0.08","8.4152"
"-0.45","8.5321"
"-1.41","8.5895"
"-3.7","8.6448"
"-5.07","8.7063"
"-4.27","8.8144"
"-1.75","8.8682"
"-0.08","8.9228"
"-0.08","9.9756"
"-0.07","10.9762"
"-0.08","11.9948"
"-0.08","13.0479"
"-0.08","14.0577"
"-0.07","15.1131"
"-0.27","15.8546"
"-0.83","15.9099"
"-1.77","15.9625"
"-4.19","16.0192"
"-5.04","16.0719"
"-4.96","16.1259"
"-2.9","16.1788"
"-1.21","16.2326"
"-0.08","16.286"
"-0.77","16.3978"
"-2.13","16.455"
"-5.07","16.508"
"-4.83","16.609"
"-2.28","16.6693"
"-0.41","16.7221"
"-0.08","16.7828"
"-0.14","16.8356"
"-1.12","16.8957"
"-2.63","16.9485"
"-5.04","17.0038"
"-4.59","17.1142"
"-2.3","17.1672"
"-0.62","17.2256"
"-0.08","17.2785"
"-0.17","17.3353"
"-1.32","17.3898"
"-3.12","17.4464"
"-5.06","17.4995"
"-5.1","17.5538"
"-3.29","17.6299"
"-1.32","17.6847"
"-0.08","17.7376"
"-0.93","17.8518"
"-2.59","17.9155"
"-5.05","17.9685"
"-4.48","18.0832"
"-2.19","18.1402"
"-0.56","18.1934"
"-0.08","18.2476"
"-0.22","18.3007"
"-1.17","18.3615"
"-2.88","18.4153"
"-5.05","18.4758"
"-3.49","18.5907"
"-1.66","18.6665"
"-0.08","18.7222"
"-0.51","18.8387"
"-1.66","18.8921"
"-3.83","18.9521"
"-5.05","19.0055"
"-5.1","19.0639"
"-3.08","19.1229"
"-1.16","19.1849"
"-0.07","19.2382"
"-0.97","19.3509"
"-2.49","19.4101"
"-5.06","19.4663"
"-4.49","19.5822"
"-1.43","19.6456"
"-0.08","19.7301"
"-0.72","19.84"
"-1.96","19.9012"
"-5.03","19.9548"
"-5.07","20.0166"
"-4.99","20.0701"
"-2.8","20.128"
"-0.82","20.1871"
"-0.08","20.2497"
"-0.14","20.3075"
"-1.23","20.3702"
"-3.31","20.4239"
"-5.06","20.4855"
"-5.09","20.539"
"-4.17","20.6026"
"-1.22","20.6564"
"-0.08","20.7379"
