"time","depth"
"0.0001","0.07"
"0.4236","0.15"
"0.5307","0.08"
"1.5718","0.07"
"1.7932","0.2"
"1.8581","0.29"
"1.9136","0.36"
"1.9666","0.43"
"2.0206","0.49"
"2.0734","0.6"
"2.1273","0.73"
"2.18","0.82"
"3.2171","0.82"
"3.27","0.56"
"3.3257","0.07"
"3.4863","0.81"
"3.5403","1.31"
"3.6062","1.77"
"3.6609","2.83"
"3.7147","4.87"
"3.7687","6.36"
"3.8794","5.5"
"3.9321","2.96"
"3.988","1.86"
"4.041","1.29"
"4.0969","1.37"
"4.1503","2.48"
"4.2061","5.25"
"4.2593","5.11"
"4.3132","2.9"
"4.3661","1.39"
"4.4204","0.27"
"4.4869","0.47"
"4.5429","1.44"
"4.5964","2.92"
"4.6524","6.36"
"4.76","4.06"
"4.8132","1.91"
"4.8692","1.25"
"4.9258","1.16"
"4.985","1.54"
"5.0415","2.61"
"5.1017","6.06"
"5.155","6.26"
"5.2097","3.99"
"5.2641","2.29"
"5.3202","1.06"
"5.3991","1.15"
"5.4556","2.13"
"5.5088","4.84"
"5.5686","6.36"
"5.6838","4.85"
"5.737","2.31"
"5.7964","1.47"
"5.8496","1.15"
"5.9068","1.67"
"5.9605","3.44"
"6.0176","6.36"
"6.1254","5.9"
"6.179","2.43"
"6.2674","1.53"
"6.3331","1.1"
"6.3891","1.31"
"6.4427","2.44"
"6.5029","3.27"
"6.5569","4.17"
"6.6132","4.87"
"6.6667","4.07"
"6.7229","2.38"
"6.7763","1.29"
"6.8308","0.8"
"6.8846","0.95"
"6.9419","1.71"
"6.9959","3.38"
"7.0523","5.95"
"7.1061","5.63"
"7.1624","2.69"
"7.2384","1.21"
"7.2953","0.72"
"7.3491","0.86"
"7.4041","1.54"
"7.4575","2.95"
"7.5141","5.7"
"7.5676","5.79"
"7.6221","3.53"
"7.6759","2.04"
"7.7344","1.35"
"7.7878","1.13"
"7.8464","1.37"
"7.9002","2.69"
"7.963","6.2"
"8.0167","6.23"
"8.0788","2.77"
"8.1505","1.52"
"8.2077","0.96"
"8.2617","1.02"
"8.3184","1.73"
"8.372","3.3"
"8.4268","4.65"
"8.4804","3.71"
"8.5395","2.11"
"8.5934","1.16"
"8.6504","0.68"
"8.7041","0.79"
"8.7591","1.48"
"8.8143","3.39"
"8.8714","6.36"
"8.9253","5.11"
"8.9831","2.41"
"9.0571","1.2"
"9.1119","0.76"
"9.1658","0.84"
"9.2244","1.6"
"9.2779","3.66"
"9.3342","6.36"
"9.3885","4.5"
"9.4459","2.2"
"9.4998","0.97"
"9.5616","0.37"
"9.6155","0.91"
"9.6779","2.34"
"9.7319","5.25"
"9.7957","4.3"
"9.8501","2.27"
"9.9125","0.87"
"10.0157","1.27"
"10.0803","3.69"
"10.1405","6.31"
"10.1971","3.38"
"10.2508","1.6"
"10.307","0.73"
"10.3613","0.8"
"10.4188","2.23"
"10.4738","6.36"
"10.5286","6.31"
"10.5842","2.77"
"10.6463","1.18"
"10.7","0.55"
"10.7606","0.91"
"10.8145","3.93"
"10.8951","5.59"
"10.9513","2.91"
"11.008","1.58"
"11.063","0.8"
"11.1195","0.72"
"11.1757","1.81"
"11.2331","4.11"
"11.2869","4.05"
"11.3444","2.53"
"11.3984","1.25"
"11.457","0.59"
"11.514","1.14"
"11.5766","3.12"
"11.6306","5.48"
"11.6943","2.48"
"11.7716","1.23"
"11.8282","0.87"
"11.8819","1.48"
"11.9368","3.7"
"11.9909","6.36"
"12.0471","3.97"
"12.1009","1.89"
"12.1587","1.08"
"12.2127","1.22"
"12.2677","2.52"
"12.3214","5.86"
"12.3761","4.51"
"12.4316","2.23"
"12.4892","1.04"
"12.5438","0.27"
"12.6015","1.06"
"12.674","2.89"
"12.7305","4.02"
"12.7851","2.87"
"12.8441","1.42"
"12.8984","0.54"
"12.9534","0.8"
"13.0072","2.48"
"13.0644","5.02"
"13.1181","2.56"
"13.1749","1.04"
"13.2286","0.79"
"13.2851","2.43"
"13.3391","6.29"
"13.3937","4.01"
"13.4477","1.73"
"13.5026","0.63"
"13.5826","1.8"
"13.6391","6.04"
"13.6929","5.18"
"13.7572","2.09"
"13.8108","0.63"
"13.8748","0.56"
"13.9283","2.69"
"13.9929","5.03"
"14.0467","2.57"
"14.1104","1.08"
"14.1661","0.27"
"14.2285","1.34"
"14.2822","4.22"
"14.3462","3.34"
"14.4005","0.75"
"14.4946","0.37"
"14.5487","1.7"
"14.6035","4.46"
"14.6575","3.8"
"14.7125","1.7"
"14.7661","0.58"
"14.8228","0.68"
"14.8769","2.55"
"14.9381","5.56"
"15.0038","2.63"
"15.0658","1.01"
"15.1205","0.47"
"15.1798","1.76"
"15.2336","5.58"
"15.2914","3.67"
"15.3659","1.44"
"15.4208","0.67"
"15.4746","1.12"
"15.5312","3.47"
"15.5851","6.36"
"15.6503","2.9"
"15.704","1.08"
"15.7691","0.78"
"15.8229","1.96"
"15.8803","5.53"
"15.9339","4.75"
"15.9905","1.87"
"16.047","0.65"
"16.1113","0.84"
"16.1655","4.95"
"16.2724","2.39"
"16.3273","0.91"
"16.3809","0.07"
"16.4374","0.85"
"16.4912","3.54"
"16.5628","3.44"
"16.6166","1.6"
"16.6734","0.15"
"16.7272","0.07"
