Time (s),Depth (cm)
0.0001,0.07
1.0173,0.07
1.1232,0.13
1.176,0.32
1.2328,0.59
1.2855,0.99
1.3428,1.45
1.3956,2.33
1.4491,2.82
1.567,1.73
1.6197,1.14
1.6764,0.86
1.729,0.45
1.7824,0.24
1.9014,0.73
1.9541,1.55
2.0076,2.99
2.0609,3.46
2.1709,2.04
2.2275,1.08
2.2801,0.78
2.3338,0.25
2.4445,0.52
2.4973,1.14
2.5561,2.55
2.6089,3.7
2.7333,2.68
2.7898,1.33
2.8427,0.85
2.898,0.34
2.9518,0.17
3.0591,0.6
3.1131,1.05
3.1666,1.98
3.2205,3.53
3.2739,3.63
3.3279,3.43
3.3817,1.68
3.4384,1.02
3.4914,0.83
3.5455,0.33
3.6695,0.73
3.7232,1.6
3.7797,3.44
3.8329,3.62
3.9402,2.55
3.9969,1.34
4.05,1.01
4.106,0.89
4.2707,1.79
4.3259,3.06
4.3793,3.82
4.5026,2.47
4.5592,1.17
4.6127,0.72
4.6669,0.05
4.8296,0.37
4.8854,0.95
4.9386,2.03
4.9931,3.73
5.0463,3.81
5.1022,3.15
5.1559,1.48
5.2121,0.86
5.2895,0.1
5.4193,0.22
5.4741,1.02
5.5279,2.15
5.5857,3.55
5.6965,3.17
5.7506,1.45
5.8072,0.83
5.8609,0.3
5.9154,0.11
6.0258,0.35
6.0793,0.86
6.1354,1.75
6.189,3.53
6.2435,3.67
6.3156,2.79
6.3719,1.33
6.4259,0.87
6.5144,0.21
6.568,0.17
6.6307,0.39
6.6843,1.06
6.7446,2.44
6.7979,3.45
6.8588,3.4
6.9126,2.75
6.9773,1.34
7.0309,0.86
7.0929,0.34
7.1465,0.11
7.2795,0.58
7.3425,1.3
7.396,2.92
7.456,3.6
7.5095,3.66
7.5715,2.08
7.6255,1.11
7.687,0.83
7.7406,0.14
7.856,0.28
7.9108,0.9
7.9644,2.13
8.0275,3.27
8.1531,2.94
8.2068,1.46
8.2614,0.96
8.315,0.68
8.372,0.01
8.5337,0.49
8.5885,1.24
8.6419,2.66
8.6983,3.28
8.8093,2.56
8.8632,1.32
8.9177,0.85
8.986,0.82
9.0405,0.58
9.0955,0.41
9.1502,0.83
9.2056,1.7
9.2621,3.28
9.3154,3.56
9.4313,1.95
9.491,1.02
9.5444,0.64
9.6084,0.06
9.7794,0.66
9.8377,1.89
9.9071,3.49
9.9634,3.57
10.0714,1.69
10.1251,0.99
10.1795,0.89
10.3465,0.68
10.4028,0.64
10.4562,1.41
10.5109,2.53
10.5657,2.78
10.6763,1.84
10.7359,0.91
10.8005,0.31
10.8551,0.0
11.0238,0.36
11.0858,0.99
11.1392,2.32
11.201,3.67
11.3169,2.6
11.3704,1.15
11.4422,0.55
11.5009,0.01
11.6296,1.17
11.8058,2.88
11.8777,3.59
11.9889,1.81
12.0413,1.01
12.0937,0.69
12.1459,0.0
12.3033,0.11
12.3569,0.52
12.4155,1.06
12.4695,2.15
12.5265,3.59
12.6598,2.16
12.7137,1.01
12.7683,0.73
12.8217,0.22
12.9855,0.73
13.039,1.49
13.0933,3.5
13.1471,4.24
13.2575,2.94
13.312,1.23
13.3659,0.72
13.4228,0.15
13.606,0.86
13.6675,2.06
13.7209,4.46
13.7838,4.49
13.8373,3.81
13.8992,1.64
13.9524,0.85
14.0128,0.2
14.0661,0.1
14.2412,0.82
14.2947,3.46
14.3775,4.6
14.4311,4.64
14.4854,3.51
14.539,1.46
14.5934,0.73
14.647,0.08
14.8659,0.74
14.922,1.91
14.9754,4.96
15.0317,5.27
15.1413,2.72
15.1948,0.81
15.2786,0.13
15.3326,0.09
15.4477,0.36
15.5102,1.36
15.5635,4.04
15.6217,5.4
15.7357,2.87
15.7895,1.02
15.8512,0.34
15.9048,0.02
16.0197,0.06
16.0814,1.11
16.1498,3.05
16.2058,4.99
16.3136,3.78
16.3672,1.51
16.4215,0.8
16.4753,0.09
16.649,0.42
16.7024,1.36
16.7568,3.79
16.8103,5.54
16.9215,3.34
16.9767,0.72
17.1088,0.08
17.2747,0.69
17.3268,1.76
17.379,4.63
17.4311,5.16
17.5375,2.63
17.5906,1.17
17.6429,0.75
17.6958,0.1
17.8605,1.08
17.9401,2.68
17.9934,4.68
18.0495,4.71
18.1028,4.35
18.159,1.82
18.2126,0.9
18.267,0.35
18.3228,0.04
18.5057,1.07
18.5617,3.37
18.6264,4.83
18.7404,3.13
18.7965,1.42
18.849,0.87
18.901,0.66
18.9535,0.06
19.0613,0.36
19.1138,1.21
19.1672,2.95
19.2196,4.85
19.3892,2.04
19.4429,0.91
19.499,0.61
19.5524,0.06
19.6634,0.13
19.7411,1.21
19.7945,3.15
19.8492,5.04
19.9029,5.01
19.9622,4.36
20.0158,1.68
20.0779,0.92
20.1314,0.63
20.1861,0.08
20.3,0.14
20.3536,1.01
20.4152,2.73
20.4686,5.17
20.5303,5.14
20.5844,1.75
20.6666,0.83
20.7204,0.19
20.7748,0.08
20.886,0.2
20.9399,1.11
20.9964,3.18
21.05,5.09
21.1061,5.13
21.1595,3.63
21.2142,1.54
21.2688,0.79
21.3258,0.08
21.4948,3.76
21.6225,5.14
21.7307,1.92
21.792,0.97
21.8455,0.6
21.9072,0.02
22.0688,0.91
22.1336,2.95
22.1871,4.64
22.2487,4.69
22.3066,2.3
22.366,0.89
22.4399,0.14
22.4978,0.08
22.6065,0.47
22.6605,1.42
22.7172,4.22
22.7709,5.07
22.8297,5.11
22.8833,2.17
22.9449,0.88
22.9985,0.03
23.1756,0.15
23.2295,1.06
23.2924,4.79
23.3665,5.25
23.4225,3.43
23.4765,1.32
23.531,0.75
23.5846,0.05
23.8014,0.87
23.8561,2.75
23.9096,5.18
24.02,3.04
24.081,1.05
24.1343,0.8
24.1961,0.22
24.3786,0.77
24.4401,1.88
24.4935,4.81
24.5552,4.87
24.6085,3.91
24.6706,1.56
24.7242,0.84
24.7873,0.33
24.8407,0.15
25.0186,0.79
25.0728,2.92
25.1554,4.85
25.2633,4.53
25.3177,1.79
25.3722,0.89
25.4272,0.65
25.4834,0.14
25.645,0.8
25.7016,1.97
25.7549,4.58
