"time","depth"
"0.0001","0.07"
"1.0206","0.07"
"1.502","0.3"
"1.5565","0.78"
"1.6094","1.53"
"1.6629","2.4"
"1.7698","2.16"
"1.8228","0.96"
"1.8996","0.07"
"2.0098","0.56"
"2.0626","1.82"
"2.1159","2.47"
"2.1729","2.41"
"2.2297","1.89"
"2.2824","1.16"
"2.3401","0.31"
"2.3928","0.07"
"2.5002","0.5"
"2.554","1.56"
"2.607","2.48"
"2.7189","1.47"
"2.7994","0.35"
"2.8524","0.07"
"2.9594","0.86"
"3.0182","1.98"
"3.071","2.52"
"3.1292","2.48"
"3.1824","2.02"
"3.2387","1.25"
"3.292","0.07"
"3.4589","1.22"
"3.512","2.54"
"3.6241","1.93"
"3.7056","1.18"
"3.7598","0.07"
"3.9258","0.54"
"3.9788","1.36"
"4.0331","2.64"
"4.0861","2.61"
"4.1421","2.26"
"4.1955","1.34"
"4.2499","0.09"
"4.4127","0.56"
"4.4688","1.65"
"4.5219","2.65"
"4.6019","2.5"
"4.6554","1.82"
"4.7174","1.03"
"4.7711","0.77"
"4.8859","1"
"4.9477","2.01"
"5.0007","3.24"
"5.0631","3.1"
"5.1165","2.29"
"5.1762","1.47"
"5.2294","0.46"
"5.2921","0.07"
"5.3454","0.16"
"5.4082","1.64"
"5.4747","3.2"
"5.5316","3.16"
"5.5853","1.97"
"5.6732","1.14"
"5.7267","0.13"
"5.7841","0.07"
"5.8953","0.47"
"5.9491","1.65"
"6.0091","3.28"
"6.0695","3.02"
"6.1368","1.77"
"6.1934","0.85"
"6.2499","0.07"
"6.3795","0.43"
"6.4358","1.61"
"6.4942","3.27"
"6.6082","2.73"
"6.6622","1.85"
"6.721","1.08"
"6.7745","0.14"
"6.831","0.07"
"6.8863","0.24"
"6.9445","1.32"
"6.9993","3.1"
"7.0538","3.23"
"7.1075","2.56"
"7.1701","1.58"
"7.2238","0.39"
"7.3086","0.07"
"7.4242","0.89"
"7.4778","2.37"
"7.5323","3.29"
"7.5859","2.98"
