"time","depth"
"0.0001","0.52"
"0.0527","0.35"
"0.1051","0.27"
"0.1589","0.18"
"0.2117","0.07"
"1.2566","0.07"
"2.2803","0.07"
"3.3145","0.07"
"3.6571","0.65"
"3.7103","1.8"
"3.7661","4.69"
"3.8192","6.36"
"4.1453","6.25"
"4.1985","4.09"
"4.2512","2.04"
"4.3047","0.57"
"4.3581","0.07"
"4.7059","0.18"
"4.7596","0.88"
"4.8134","1.62"
"4.8672","3.12"
"4.9202","6.36"
"5.2963","4.79"
"5.3491","2.18"
"5.4196","1.01"
"5.4726","0.07"
"5.7428","0.43"
"5.7958","0.59"
"5.8526","0.72"
"5.9092","1.35"
"5.9711","2.72"
"6.0249","6.36"
"6.3192","5.85"
"6.3721","3.27"
"6.4286","1.36"
"6.4817","0.07"
"6.7649","0.13"
"6.8179","0.66"
"6.8759","1.29"
"6.9289","2.01"
"6.987","3.31"
"7.0399","6.37"
"7.291","4.83"
"7.3451","3.04"
"7.398","1.54"
"7.4522","0.07"
"7.7633","0.33"
"7.825","0.95"
"7.8779","1.71"
"7.9383","3.17"
"7.9912","6.36"
"8.2819","5.28"
"8.3391","2.78"
"8.3998","1.37"
"8.4532","0.07"
"8.7781","0.11"
"8.8347","0.84"
"8.8907","1.92"
"8.9466","6.32"
"9.0136","6.36"
"9.1756","6.27"
"9.2292","3.94"
"9.2902","2.26"
"9.3432","1.05"
"9.4066","0.07"
"9.5748","0.63"
"9.6371","0.79"
"9.6903","0.92"
"9.7508","1.11"
"9.8039","1.48"
"9.8634","3.7"
"9.9334","6.36"
"10.15","6.29"
"10.2061","5.43"
"10.2592","4.27"
"10.3153","3.23"
"10.3688","2.14"
"10.4229","1.48"
"10.4761","1.04"
"10.5324","0.78"
"10.5858","0.65"
"10.6399","0.47"
"10.6932","0.07"
"10.8938","1.02"
"10.9509","2.51"
"11.0057","5.57"
"11.0594","6.36"
"11.1781","6.33"
"11.2401","4.51"
"11.2937","3.04"
"11.3554","2.15"
"11.4093","1.24"
"11.4717","0.07"
"11.7159","0.12"
"11.7693","0.56"
"11.8252","1.1"
"11.8797","2.1"
"11.9409","4.69"
"11.9946","6.36"
"12.2792","5.9"
"12.333","3.85"
"12.3901","2.26"
"12.444","1.01"
"12.5048","0.07"
"12.7413","0.21"
"12.7949","0.59"
"12.8493","1.03"
"12.9038","1.87"
"12.9584","3.9"
"13.0118","6.36"
"13.3379","5.75"
"13.3921","3.25"
"13.4466","1.24"
"13.5224","0.07"
"13.7492","0.21"
"13.804","0.86"
"13.8649","1.56"
"13.9184","2.92"
"13.98","6.36"
"14.209","6.28"
"14.2626","4.85"
"14.3244","3.3"
"14.3992","2.08"
"14.4579","1.06"
"14.5111","0.07"
"14.782","0.46"
"14.8353","1.12"
"14.8914","2.15"
"14.945","6.32"
"14.9992","6.36"
"15.1067","5.91"
"15.1605","4.38"
"15.2146","3.23"
"15.2842","2.53"
"15.3406","1.94"
"15.3938","1.37"
"15.4558","0.45"
"15.5093","0.07"
"15.7376","0.31"
"15.7982","0.79"
"15.852","2.01"
"15.923","6.25"
"15.9762","6.36"
"16.2279","5.77"
"16.2825","3.08"
"16.3359","1.48"
"16.3901","0.24"
"16.4442","0.07"
"16.7703","0.49"
"16.8251","1.26"
"16.8783","2.35"
"16.9344","6.36"
"17.2375","5.43"
"17.2959","3.11"
"17.349","1.44"
"17.4119","0.07"
"17.5808","0.13"
"17.8062","0.39"
"17.8648","1.66"
"17.935","4.04"
"17.9914","6.36"
"18.3171","5.68"
"18.3706","3.42"
"18.4266","1.75"
"18.4797","0.54"
"18.5341","0.07"
"18.7526","0.54"
"18.8216","1.65"
"18.8777","4.1"
"18.9308","6.36"
"19.174","5.58"
"19.2286","3.61"
"19.2888","2.06"
"19.3487","0.84"
"19.4071","0.07"
"19.6314","0.61"
"19.7241","1.15"
"19.778","1.93"
"19.8366","3.65"
"19.8899","6.36"
"20.1691","6.02"
"20.2235","4.11"
"20.2799","2.25"
"20.3338","0.98"
"20.3882","0.07"
"20.6276","0.29"
"20.6808","1.39"
"20.754","3.1"
"20.8076","6.36"
"21.0561","5.87"
"21.1085","4.08"
"21.1604","2.54"
"21.2127","1.42"
"21.2648","0.35"
"21.318","0.07"
"21.5361","0.44"
"21.5892","1.32"
"21.6474","2.84"
"21.7011","6.36"
"21.9811","4.81"
"22.0362","2.55"
"22.1074","1.24"
"22.1609","0.07"
