Time,Depth
6142660,0
6142679,0
6142680,3
6142700,12
6142720,15
6142740,19
6142760,24
6142780,30
6142800,37
6142820,43
6142840,47
6142860,50
6142920,46
6142940,38
6142960,30
6142980,22
6143000,17
6143020,12
6143040,10
6143060,8
6143080,7
6143140,8
6143160,9
6143180,11
6143200,14
6143220,19
6143240,26
6143260,35
6143280,44
6143300,51
6143320,55
6143380,53
6143400,46
6143420,37
6143440,29
6143460,22
6143480,17
6143500,13
6143520,10
6143540,8
6143560,7
6143720,8
6143740,11
6143760,15
6143780,20
6143800,28
6143820,37
6143840,45
6143860,50
6143880,52
6143940,48
6143960,40
6143980,31
6144000,23
6144020,17
6144040,12
6144060,9
6144080,7
6144300,10
6144320,14
6144340,20
6144360,28
6144380,36
6144400,44
6144420,50
6144440,52
6144480,51
6144500,46
6144520,37
6144540,28
6144560,20
6144580,15
6144600,11
6144620,8
6144640,7
6144780,8
6144800,10
6144820,13
6144840,19
6144860,27
6144880,35
6144900,43
6144920,49
6144940,52
6145000,50
6145020,43
6145040,35
6145060,27
6145080,20
6145100,15
6145120,11
6145140,8
6145160,7
6145300,8
6145320,10
6145340,13
6145360,17
6145380,22
6145400,30
6145420,37
6145440,45
6145460,51
6145480,54
6145540,53
6145560,48
6145580,40
6145600,32
6145620,25
6145640,20
6145660,16
6145680,12
6145700,11
6145720,10
6145740,9
6145760,8
6145860,10
6145880,12
6145900,16
6145920,20
6145940,25
6145960,32
6145980,39
6146000,47
6146020,52
6146040,54
6146100,49
6146120,42
6146140,33
6146160,25
6146180,19
6146200,14
6146220,11
6146240,8
6146260,7
6146400,8
6146420,9
6146440,12
6146460,17
6146480,23
6146500,32
6146520,42
6146540,49
6146560,53
6146620,51
6146640,45
6146660,36
6146680,26
6146700,19
6146720,13
6146740,9
6146760,7
6146780,6
6146880,7
6146900,8
6146920,10
6146940,14
6146960,19
6146980,25
6147000,33
6147020,42
6147040,49
6147060,53
6147080,55
6147140,50
6147160,42
6147180,33
6147200,25
6147220,19
6147240,13
6147260,10
6147280,7
6147300,6
6147420,7
6147440,8
6147460,10
6147480,12
6147500,17
6147520,22
6147540,30
6147560,39
6147580,47
6147600,53
6147620,55
6147680,50
6147700,43
6147720,34
6147740,26
6147760,19
6147780,14
6147800,10
6147820,8
6147840,7
6147900,6
6147980,7
6148000,8
6148020,10
6148040,14
6148060,19
6148080,25
6148100,33
6148120,42
6148140,49
6148160,54
6148180,55
6148240,50
6148260,43
6148280,34
6148300,25
6148320,18
6148340,12
6148360,9
6148380,7
6148400,6
6148540,7
6148560,8
6148580,11
6148600,15
6148620,20
6148640,27
6148660,36
6148680,45
6148700,52
6148720,55
6148780,53
6148800,47
6148820,39
6148840,30
6148860,22
6148880,15
6148900,10
6148920,7
6148940,6
6149060,7
6149080,9
6149100,12
6149120,16
6149140,21
6149160,29
6149180,39
6149200,48
6149220,54
6149240,56
6149280,57
6149300,53
6149320,47
6149340,38
6149360,29
6149380,20
6149400,14
6149420,10
6149440,7
6149460,6
6149600,7
6149620,10
6149640,13
6149660,18
6149680,24
6149700,33
6149720,44
6149740,52
6149760,56
6149780,58
6149820,57
6149840,51
6149860,43
6149880,33
6149900,25
6149920,19
6149940,13
6149960,10
6149980,8
