Time,Depth
28660,0
28679,0
28680,3
28700,10
28740,11
28840,13
28860,16
28880,20
28900,27
28920,34
28940,42
28960,48
28980,51
29000,52
29100,51
29120,47
29140,41
29160,35
29180,27
29200,18
29220,10
29240,6
29260,4
29280,3
29360,6
29400,7
29420,10
29440,12
29460,15
29480,22
29500,31
29520,41
29540,48
29560,52
29580,53
29640,54
29660,49
29680,43
29700,37
29720,31
29740,25
29760,19
29780,13
29800,9
29820,7
29840,6
29960,7
29980,8
30000,9
30020,10
30040,12
30060,18
30080,26
30100,37
30120,46
30140,52
30160,55
30220,56
30240,51
30260,44
30280,37
30300,31
30320,25
30340,18
30360,12
30380,7
30400,6
30420,5
30500,6
30540,7
30560,8
30580,11
30600,15
30620,21
30640,30
30660,39
30680,45
30700,49
30720,50
30800,51
30820,48
30840,46
30860,44
30880,42
30900,38
30920,33
30940,28
30960,21
30980,14
31000,8
31020,6
31040,5
31060,3
31140,5
31160,6
31180,7
31200,9
31220,11
31240,15
31260,21
31280,30
31300,40
31320,47
31340,50
31380,51
31460,48
31480,42
31500,37
31520,31
31540,24
31560,16
31580,9
31600,6
31620,3
31640,2
31720,1
31740,2
31760,3
31780,6
31800,7
31820,10
31840,13
31860,17
31880,24
31900,33
31920,43
31940,50
31960,53
31980,54
32040,50
32060,41
32080,31
32100,23
32120,16
32140,10
32160,7
32180,5
32200,3
32320,2
32340,5
32360,6
32380,9
32400,10
32420,12
32440,14
32460,16
32480,20
32500,28
32520,38
32540,46
32560,49
32580,50
32640,51
32660,46
32680,39
32700,33
32720,28
32740,21
32760,14
32780,8
32800,6
32820,4
32860,3
32920,4
32940,6
32960,8
32980,9
33000,12
33020,17
33040,23
33060,30
33080,40
33100,47
33120,52
33140,53
33220,50
33240,44
33260,39
33280,33
33300,27
33320,20
33340,12
33360,7
33380,6
33400,4
33420,3
33500,5
33520,6
33540,7
33560,9
33580,11
33600,15
33620,20
33640,29
33660,38
33680,46
33700,51
33720,52
33760,53
33820,52
33840,50
33860,47
33880,44
33900,37
33920,29
33940,19
33960,11
33980,6
34000,4
34020,3
34120,5
34140,6
34160,7
34180,9
34200,11
34220,15
34240,21
34260,28
34280,36
34300,44
34320,48
34340,50
34420,49
34440,43
34460,37
34480,31
34500,24
34520,18
34540,11
34560,8
34580,6
34600,5
34620,4
34680,3
34700,4
34720,6
34760,7
34780,10
34800,13
34820,19
34840,26
34860,35
34880,43
34900,48
34920,49
34940,50
35000,48
35020,42
35040,36
35060,31
35080,25
35100,19
35120,13
35140,8
35160,6
35180,4
35200,3
35280,2
35300,3
35320,5
35340,6
35360,8
35380,10
35400,14
35420,19
35440,27
35460,36
35480,44
35500,48
35520,49
35540,50
35600,49
35620,43
35640,37
35660,31
35680,26
35700,20
35720,13
35740,9
35760,6
35800,5
35860,4
35900,5
35920,6
35940,7
35960,8
35980,10
36000,13
36020,19
36040,26
36060,34
36080,43
36100,48
36120,50
36180,51
36200,50
36220,44
36240,37
36260,32
36280,27
36300,20
36320,14
36340,9
36360,6
36380,5
36400,3
36520,5
36540,6
36560,7
36580,9
36600,11
36620,16
36640,23
36660,33
36680,42
36700,48
36720,51
36760,52
36820,48
36840,41
36860,35
36880,29
36900,23
36920,16
36940,11
36960,7
36980,6
37000,4
37040,3
37100,4
37120,6
37160,8
37180,10
37200,14
37220,19
37240,27
37260,36
37280,43
37300,49
37320,50
37380,51
37420,46
37440,40
37460,34
37480,29
37500,22
37520,16
37540,10
37560,6
37580,5
37600,3
37720,4
37740,6
37780,8
37800,11
37820,16
37840,22
37860,29
37880,38
37900,45
37920,48
37940,49
38000,50
38040,46
38060,39
38080,32
38100,26
38120,20
38140,13
38160,8
38180,6
38200,4
38220,3
38340,5
38360,6
38400,8
38420,10
38440,15
38460,22
38480,31
38500,41
38520,49
38540,52
38560,53
38620,54
38640,53
38660,48
38680,42
38700,37
38720,31
38740,24
38760,18
38780,12
38800,8
38820,6
38840,5
38900,4
38960,6
39000,7
39020,9
39040,13
39060,19
39080,26
39100,34
39120,43
39140,49
39160,52
39180,53
39220,54
39260,50
39280,44
39300,37
39320,31
39340,25
39360,19
39380,13
39400,8
39420,6
39440,5
39460,3
39600,2
39620,4
39640,6
39660,7
39680,10
39700,15
39720,22
39740,32
39760,42
39780,50
39800,53
39820,54
39880,55
39900,52
39920,44
39940,35
39960,26
39980,18
40000,10
40020,6
40040,3
40060,1
40200,2
40220,4
40240,6
40280,7
40300,8
40320,11
40340,15
40360,22
40380,32
40400,42
40420,50
40440,53
40480,54
40520,52
40540,45
40560,36
40580,27
40600,18
40620,10
40640,6
40660,2
40680,1
40920,6
40940,7
40960,9
40980,12
41000,15
41020,20
41040,26
41060,35
41080,44
41100,50
41120,53
41180,54
41220,50
41240,43
41260,36
41280,31
41300,25
41320,18
41340,12
41360,7
41380,4
41400,3
41420,2
41540,5
41560,6
41580,7
41600,9
41620,11
41640,13
41660,17
41680,22
41700,29
41720,37
41740,44
41760,48
41780,50
41880,45
41900,38
41920,31
41940,24
41960,16
41980,8
42000,4
42020,1
42200,3
42220,6
42240,7
42260,9
42280,12
42300,18
42320,25
42340,33
42360,43
42380,50
42400,54
42440,55
42480,53
42500,46
42520,37
42540,28
42560,19
42580,10
42600,6
42620,3
42640,1
42840,3
42860,7
42880,9
42900,13
42920,18
42940,24
42960,30
42980,39
43000,46
43020,51
43040,53
43120,50
43140,41
43160,32
43180,24
43200,17
43220,10
43240,6
43260,3
43280,2
43400,1
43460,3
43480,6
43520,7
43540,8
43560,10
43580,13
43600,19
43620,29
43640,39
43660,49
43680,54
43700,55
43780,52
43800,45
43820,36
43840,27
43860,18
43880,10
43900,6
43920,3
43940,1
44060,3
44080,5
44100,6
44120,7
44140,8
44160,10
44180,13
44200,18
44220,24
44240,32
44260,41
44280,50
44300,54
44320,55
44360,56
44380,55
44400,50
44420,41
44440,32
44460,24
44480,16
44500,8
44520,4
44540,1
44800,2
44820,7
44840,11
44860,14
44880,19
44900,25
44920,32
44940,39
44960,47
44980,51
45000,52
45020,53
45060,51
45080,44
45100,33
45120,23
45140,15
45160,8
45180,5
45200,3
45220,2
45460,3
45480,8
45500,11
45520,14
45540,20
45560,26
45580,32
45600,38
45620,44
45640,49
45660,51
45680,52
45760,49
45780,42
45800,34
45820,25
45840,16
45860,8
45880,5
45900,3
45940,2
46060,4
46080,7
46100,9
46120,13
46140,18
46160,23
46180,30
46200,39
46220,48
46240,53
46260,54
46300,55
46320,54
46340,49
46360,41
46380,32
46400,24
46420,15
46440,8
46460,5
46480,2
46500,1
46680,6
46700,8
46720,11
46740,16
46760,21
46780,26
46800,33
46820,40
46840,47
46860,50
46880,51
46940,52
46960,48
46980,43
47000,37
47020,31
47040,26
47060,20
